net,length_um
net9,64.74
net10,62.94
net1,61.62
net5,49.23
_28_,44.82
_05_,32.62
net7,32.3
net6,31.12
_08_,29.7
net8,28.11
_00_,27.08
_04_,22.215
_14_,21.775
net2,21.23
net4,19.94
_19_,19.5
_16_,19.24
_12_,19.205
_07_,19.12
_21_,18.18
_15_,17.62
_10_,17.4
net3,17.18
B[1],15.28
A[3],14.85
A[1],14.83
_03_,14.28
Y[2],14.22
sel[0],13.6
B[0],12.02
Cout,11
B[2],10.66
B[3],10.56
_38_,10.26
net14,10.06
_13_,9.4
_09_,9.12
net11,8.68
_32_,7.82
Y[3],7.58
_43_,7.255
_11_,7.22
A[2],7.15
_18_,6.18
_29_,6.14
_17_,5.94
_42_,5.41
_35_,5.28
A[0],5.19
_06_,5.14
sel[1],4.85
net15,4.76
_22_,4.67
Y[0],4.39
Y[1],4.39
_30_,4.34
net13,4.12
_31_,3.585
_37_,3.54
net12,3.2
_01_,3.1
_24_,3.08
_33_,2.62
_41_,2.62
_40_,2.28
_26_,2.18
_23_,2.16
_34_,2.06
_20_,1.72
_27_,1.72
_39_,1.72
_02_,1.7
_36_,1.38
_25_,0.46
